sheet,column,dtype,non_null_count,sample_values
TAG,Janssen [PET]: AMIVANTAMAB NSCLC,object,260,Note: Statistical significance is performed for sample sizes > 30 with confidence interval as 95 | Q1_00Z | Mean
TAG,Unnamed: 1,object,250,"How much time (in minutes) did you spend with the AstraZeneca representative discussing TAGRISSO (osimertinib)? | Did the interaction meet your expectations in terms of being a monologue or dialogue? | On a scale of 1 to 7, where 1 = “I entirely led the discussion” // 7 = “The AstraZeneca rep entirely led the discussion”, please select what would best characterize the nature of your interaction with the AstraZeneca rep."
TAG,Unnamed: 2,object,98,B1 | B2 | B3
TAG,Unnamed: 3,object,98,Yes | No | I do not remember
TAG,Unnamed: 4,float64,0,
TAG,Unnamed: 5,float64,0,
TAG,Unnamed: 6,float64,0,
TAG,Quarterly - Q3 2025,object,216,Total | B | 73
TAG,Unnamed: 8,object,111,Varying Sample for Overall data | 30 | 1
TAG,Unnamed: 9,object,254,High Impact - LTIP | High Impact | C
TAG,Unnamed: 10,object,252,Others | D | 28
TAG,Unnamed: 11,object,134,Varying Sample for High Impact - LTIP | High Impact | 38
TAG,Unnamed: 12,object,142,Others | 11 | 1
TAG,Quarterly - Q4 2025,object,209,Total | E | 73
TAG,Unnamed: 14,object,120,Varying Sample for Overall data | 29 | 3
TAG,Unnamed: 15,object,253,High Impact - LTIP | High Impact | F
TAG,Unnamed: 16,object,252,Others | G | 25
TAG,Unnamed: 17,object,171,Varying Sample for High Impact - LTIP | High Impact | 23
TAG,Unnamed: 18,object,142,Others | 6 | 2
TAG,Unnamed: 19,float64,11,-0.21999999999999997 | 0.15999999999999998 | 0.09000000000000002
